stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
7310005,,"No.114 Watkinson St (Opposite Don College)",, -41.168791, 146.334563,,,0,,2
7310006,,"No.79 James St",, -41.167213, 146.351627,,,0,,2
7310007,,"No.102 Nixon St",, -41.167819, 146.338122,,,0,,2
7310008,,"No.169 Nixon St (Outside Primary School)",, -41.172727, 146.336988,,,0,,2
7310009,,"No.86-96 Best St (Outside KMart)",, -41.177537, 146.354942,,,0,,2
7310010,,"No.93 North Fenton St",, -41.170566, 146.360388,,,0,,2
7310011,,"No.21 James St (Opposite Devonport Oval)",, -41.168284, 146.360198,,,0,,2
7310012,,"No.148 Best St",, -41.176527, 146.347654,,,0,,2
7310013,,"No.116 Best St",, -41.177062, 146.351472,,,0,,2
7310014,,"No.127-133 James St (Outside St Brendan-Shaw College)",, -41.166282, 146.343991,,,0,,2
7310015,,"Outside Our Lady Of Lourdes Primary, No.59-61 Stewart St",, -41.179465, 146.356400,,,0,,2
7310016,,"No.52 Stewart St (Outside Devonport Primary School)",, -41.179503, 146.357021,,,0,,2
7310017,,"No.152 James St",, -41.165588, 146.339071,,,0,,2
7310018,,"No.60 James St",, -41.167417, 146.354148,,,0,,2
7310019,,"No.123 Nixon St",, -41.167712, 146.338024,,,0,,2
7310020,,"James St, Outside Devonport Oval",, -41.168199, 146.360217,,,0,,2
7310021,,"No.114 James St (Opp. St Brendan-Shaw College)",, -41.166187, 146.343995,,,0,,2
7310022,,"Watkinson St Outside Don College",, -41.168971, 146.334362,,,0,,2
7310023,,"No.112 North Fenton St (Outside Barclay Lodge)",, -41.170597, 146.360514,,,0,,2
7310024,,"No.147 Best St",, -41.175964, 146.341642,,,0,,2
7310025,,"No.85 Best St (Four Ways)",, -41.177240, 146.351930,,,0,,2
7310026,,"No.65 Best St (Opposite KMart)",, -41.177612, 146.354713,,,0,,2
7310027,,"Best St Outside Devonport High",, -41.176793, 146.348944,,,0,,2
7310028,,"No.81 Nixon St (Opposite Primary School)",, -41.172342, 146.336919,,,0,,2
7310029,,"No.173 Madden St",, -41.170363, 146.336436,,,0,,2
7310030,,"No.162 Stony Rise Rd",, -41.191469, 146.329533,,,0,,2
7310031,,"No.31 Forbes St",, -41.184047, 146.355421,,,0,,2
7310032,,"No.75 Valley Rd",, -41.186002, 146.338702,,,0,,2
7310033,,"No.121 Don Rd",, -41.184809, 146.324345,,,0,,2
7310034,,"No.110 Stony Rise Rd",, -41.194757, 146.335757,,,0,,2
7310035,,"No.101 Forbes St",, -41.189084, 146.354725,,,0,,2
7310036,,"No.78 Middle Rd",, -41.190583, 146.348168,,,0,,2
7310037,,"Homemaker Centre, Friend St",, -41.192993, 146.337205,,,0,,2
7310038,,"No.23 Don Rd",, -41.180025, 146.337093,,,0,,2
7310039,,"No.32 Lovett St (Outside Karingal Home)",, -41.182552, 146.338856,,,0,,2
7310040,,"No.5 Berrigan Rd",, -41.192912, 146.355497,,,0,,2
7310041,,"No.26 Maple Ave",, -41.189162, 146.344998,,,0,,2
7310042,,"No.29 Valley Rd (Opposite TAFE)",, -41.186718, 146.344212,,,0,,2
7310043,,"No.15-17 Don Rd",, -41.180543, 146.334570,,,0,,2
7310044,,"No.74 Steele St",, -41.180440, 146.353568,,,0,,2
7310045,,"No.126 William St (Opposite Devonport High)",, -41.178301, 146.350781,,,0,,2
7310046,,"No.33 Berrigan Rd",, -41.195793, 146.355073,,,0,,2
7310047,,"No.93 Berrigan Rd",, -41.195343, 146.348464,,,0,,2
7310048,,"Lawrence Drive Outside Hillcrest Primary School",, -41.186340, 146.332889,,,0,,2
7310049,,"Stony Rise Rd Past Tugrah Rd",, -41.190635, 146.327191,,,0,,2
7310050,,"Forbes St Outside Reece High Sports Grounds",, -41.189313, 146.354525,,,0,,2
7310051,,"24 Maple Ave",, -41.189148, 146.345099,,,0,,2
7310052,,"No.76 Valley Rd",, -41.185907, 146.338811,,,0,,2
7310053,,"No.136-140 Don Rd",, -41.184278, 146.324428,,,0,,2
7310054,,"No.48 Forbes St (Corner Charles St)",, -41.184701, 146.355241,,,0,,2
7310055,,"No.121-137 William St (Outside Devonport High)",, -41.178086, 146.350660,,,0,,2
7310056,,"No.19 Lovett St (Opposite Karingal Home)",, -41.182292, 146.339053,,,0,,2
7310057,,"No.94 Berrigan Rd",, -41.195147, 146.348073,,,0,,2
7310058,,"Valley Rd Outside TAFE",, -41.186711, 146.344966,,,0,,2
7310059,,"No.4 Berrigan Rd",, -41.192696, 146.355276,,,0,,2
7310060,,"No.28 Don Rd",, -41.179839, 146.337373,,,0,,2
7310061,,"No.115 Stony Rise Rd",, -41.194577, 146.334679,,,0,,2
7310062,,"Opp. No.33-35 Berrigan Rd (Outside Wiena Park)",, -41.195852, 146.354884,,,0,,2
7310063,,"No.60 Don Rd",, -41.180599, 146.333529,,,0,,2
7310064,,"No.91 Steele St",, -41.180585, 146.353655,,,0,,2
7310065,,"No.53 Middle Rd",, -41.190648, 146.348275,,,0,,2
7310066,,"No.251 Steele St",, -41.177353, 146.328322,,,0,,2
7310067,,"Splash Aquatic Centre, Steele St",, -41.175567, 146.326233,,,0,,2
7310068,,"No.229 Steele St",, -41.177918, 146.332923,,,0,,2
7310069,,"No.252 Steele St",, -41.177275, 146.328624,,,0,,2
7310070,,"No.232 Steele St",, -41.177846, 146.333180,,,0,,2
7310071,,"No.53 Watkinson St",, -41.175560, 146.332924,,,0,,2
7310072,,"No.52 Watkinson St",, -41.175451, 146.333051,,,0,,2
7310073,,"No.48 William St",, -41.185497, 146.349075,,,0,,2
7310074,,"No.93 Middle Rd",, -41.193774, 146.345269,,,0,,2
7310076,,"No.309 Mersey Main Rd",, -41.230877, 146.364194,,,0,,2
7310077,,"No.113 Middle Rd (Outside Devonfield)",, -41.195865, 146.341726,,,0,,2
7310078,,"No.111 Mersey Main Rd",, -41.222449, 146.349650,,,0,,2
7310079,,"No.1 Mersey Main Rd (Outside Spreyton Primary)",, -41.213090, 146.344044,,,0,,2
7310080,,"Opp. No.506 Mersey Main Rd",, -41.235850, 146.383849,,,0,,2
7310081,,"No.14-16 Stony Rise Rd (Opposite Cemetery)",, -41.205837, 146.344100,,,0,,2
7310082,,"No.73 Mersey Main Rd",, -41.219402, 146.345632,,,0,,2
7310083,,"No.467 Mersey Main Rd (Opposite Tarleton Rd)",, -41.232466, 146.381076,,,0,,2
7310084,,"Reece High School",, -41.189311, 146.349172,,,0,,2
7310085,,"No.124-130 Mersey Main Rd (Outside ABC Storage Units)",, -41.222519, 146.349521,,,0,,2
7310086,,"No.22 Mersey Main Rd (Opposite Spreyton Primary School)",, -41.212877, 146.343925,,,0,,2
7310087,,"Corner Mersey Main Rd & Tarleton Rd",, -41.232431, 146.380839,,,0,,2
7310088,,"No.76-80 Mersey Main Rd",, -41.218226, 146.345112,,,0,,2
7310089,,"No.49 William St",, -41.185372, 146.348965,,,0,,2
7310090,,"No.310 Mersey Main Rd",, -41.230975, 146.364113,,,0,,2
